population,n_responders,n_non_responders,median_responder,median_non_responder,difference,effect_size,p_value,p_adjusted,significant
b_cell,331,325,9.671393040785683,9.844568355749049,-0.17317531496336613,-0.042547060190564756,0.34579575361837356,0.43224469202296695,False
cd4_t_cell,331,325,30.20981709190839,29.82252023625726,0.3872968556511296,0.11280501975366031,0.012422106237428324,0.06211053118714162,False
cd8_t_cell,331,325,24.896947918824413,25.009725891231607,-0.11277797240719423,-0.02224494538693933,0.6221436939857599,0.6221436939857599,False
monocyte,331,325,19.794516307728255,20.276802878048535,-0.4822865703202801,-0.05035556588426682,0.26449173372700063,0.43224469202296695,False
nk_cell,331,325,14.739688497806503,14.959829529667223,-0.2201410318607202,-0.0689100627469208,0.12674471572310064,0.3168617893077516,False
